ID Visitante;ID Loja;Latitude;Longitude;Mes;Ano;Total de visitas;Total semanas com visitas;Media do numero de visitas por semana;Prioridade;Tempo em loja;Jornada de trabalho diaria
5144;772;-3,7552532;-38,4884899;1;2019;8;4;2;2;28800;28800
5144;842;-3,7717412;-38,4826823;1;2019;2;1;2;2;28800;28800
5144;983;-3,7553914;-38,5395362;1;2019;8;3;2,67;4;28800;28800
5144;4007;-3,792897;-38,479906;1;2019;1;1;1;3;14400;28800
5127;1704;-16,0935959;-47,9829678;1;2019;27;5;5,4;1;28800;28800
5126;1596;-16,07914565;-47,98490167;1;2019;9;5;1,8;1;14400;28800
5126;6786;-16,07748587;-47,98553467;1;2019;22;5;4,4;2;28800;28800
5125;1600;-15,7347874;-47,9012333;1;2019;11;5;2,2;2;28800;28800
5125;5714;-15,759893;-47,8788667;1;2019;11;4;2,75;1;28800;28800
5124;2834;-22,3333749;-49,0693702;1;2019;13;5;2,6;2;14400;28800
5124;3307;-22,3380997;-49,0656979;1;2019;12;5;2,4;2;28800;28800
5123;5456;-22,3367102;-49,0329594;1;2019;27;5;5,4;1;28800;28800
5117;6612;-23,6694894;-52,6190443;1;2019;10;5;2;1;28800;28800
5094;1234;-23,1775193;-46,8811934;1;2019;5;5;1;2;28800;28800
5094;1236;-23,1831551;-46,90742;1;2019;6;5;1,2;3;14400;28800
5094;2823;-23,1377611;-46,5748668;1;2019;5;4;1,25;2;14400;28800
5094;2982;-23,1696412;-46,9105786;1;2019;6;5;1,2;1;14400;28800
5094;4136;-23,2103875;-46,7942922;1;2019;6;4;1,5;2;14400;28800
5094;4711;-23,1914158;-46,8768094;1;2019;6;5;1,2;1;14400;28800
5094;4715;-23,1143321;-46,5744815;1;2019;5;4;1,25;3;14400;28800
5094;4736;-23,175556;-46,8943423;1;2019;5;5;1;2;14400;28800
5094;5152;-23,1758524;-46,9106919;1;2019;5;5;1;1;14400;28800
5092;3555;-20,199464;-50,925431;1;2019;14;5;2,8;1;28800;28800
5092;3563;-20,1978135;-50,9253947;1;2019;17;5;3,4;1;28800;28800
5087;1581;-16,6941484;-49,1042809;1;2019;2;2;1;3;3600;28800
5087;1629;-16,7135223;-49,2736452;1;2019;5;3;1,67;1;14400;28800
5087;1631;-16,7142415;-49,2670086;1;2019;3;2;1,5;2;3600;28800
5087;1632;-16,6525097;-49,2530828;1;2019;2;2;1;3;3600;28800
5087;1633;-16,7143082;-49,2638994;1;2019;3;2;1,5;2;3600;28800
5087;1636;-16,6593822;-49,2579552;1;2019;4;3;1,33;1;14400;28800
5087;1721;-16,6691627;-49,2909608;1;2019;5;3;1,67;2;3600;28800
5087;1723;-16,6931631;-49,2774088;1;2019;5;3;1,67;2;3600;28800
5087;1724;-16,6620429;-49,245871;1;2019;2;2;1;3;3600;28800
5087;1730;-16,6925414;-49,2715186;1;2019;2;1;2;4;3600;28800
5087;1731;-16,7082635;-49,2877771;1;2019;3;2;1,5;3;14400;28800
5087;1734;-16,6507304;-49,3178682;1;2019;4;3;1,33;6;3600;28800
5087;1736;-16,6769331;-49,2655549;1;2019;3;2;1,5;3;14400;28800
5087;1738;-16,6839799;-49,264729;1;2019;2;2;1;4;3600;28800
5087;1739;-16,68957;-49,27484;1;2019;5;3;1,67;1;3600;28800
5087;1740;-16,7012918;-49,2710841;1;2019;5;3;1,67;1;3600;28800
5087;1741;-16,6858538;-49,2668579;1;2019;3;2;1,5;2;3600;28800
